,open,high,low,close,volume,pre_close,p_change,date,date_week,key,atr21,atr14
2017-02-27,248.17,248.36,242.01,246.23,11460810,257.0,-4.191,20170227,0,28,12.671700799462982,13.84048338401397
2017-02-28,244.19,251.0,243.9,249.99,6078145,246.23,1.527,20170228,1,29,12.713004124208593,13.740384563274217
2017-03-01,254.18,254.85,249.11,250.02,4809488,249.99,0.012,20170301,2,30,12.32046190693357,13.049485182551068
2017-03-02,249.71,253.28,248.27,250.48,3351833,250.02,0.184,20170302,3,31,11.622833055721319,11.966438706880282
2017-03-03,250.74,251.9,249.0,251.57,2929234,250.48,0.435,20170303,4,32,10.794168623312794,10.746731589175903
2017-03-06,247.91,251.7,247.51,251.21,3355500,251.57,-0.14300000000000002,20170306,0,33,10.169331981161163,9.865709330304563
2017-03-07,251.92,253.89,248.32,248.59,3459470,251.21,-1.043,20170307,1,34,9.73578345672924,9.289095893400049
2017-03-08,247.0,250.07,245.32,246.87,3728649,248.59,-0.6920000000000001,20170308,2,35,9.374478870183415,8.833243743151703
2017-03-09,247.63,248.66,243.0,244.9,3879293,246.87,-0.7979999999999999,20170309,3,36,9.026567472974909,8.408010774114866
2017-03-10,246.21,246.5,243.0,243.69,3066272,244.9,-0.494,20170310,4,37,8.544911608206762,7.800299795883477
2017-03-13,244.82,246.85,242.78,246.17,3022625,243.69,1.018,20170313,0,38,8.127967886268443,7.301044773759821
2017-03-14,246.11,258.12,246.02,258.0,7598446,246.17,4.806,20170314,1,39,8.713824353150933,8.254687217959521
2017-03-15,257.0,261.0,254.27,255.73,5330806,258.0,-0.88,20170315,2,40,9.281237551825678,9.13388457342304
2017-03-16,262.4,265.75,259.06,262.05,7132153,255.73,2.471,20170316,3,41,9.139444966969698,8.948912800116517
2017-03-17,264.0,265.33,261.2,261.5,6497496,262.05,-0.21,20170317,4,42,9.182020368498236,9.035909414257873
2017-03-20,260.6,264.55,258.82,261.92,3614294,261.5,0.161,20170320,0,43,8.863391869876976,8.594307682640471
2017-03-21,262.83,264.8,250.24,250.68,6908554,261.92,-4.291,20170321,1,44,9.388468980459328,9.391005766877576
2017-03-22,251.56,255.07,250.51,255.01,4059297,250.68,1.7269999999999999,20170322,2,45,9.57456552583799,9.660578137840936
2017-03-23,255.39,257.67,253.3,254.78,3320245,255.01,-0.09,20170323,3,46,9.336910444607001,9.304073377941716
2017-03-24,255.7,263.89,255.01,263.16,5647253,254.78,3.2889999999999997,20170324,4,47,9.294940528775863,9.24747141284519
2017-03-27,260.6,270.57,259.75,270.22,6230795,263.16,2.6830000000000003,20170327,0,48,9.890985665877148,10.120595292734436
2017-03-28,277.02,280.68,275.0,277.45,7987604,270.22,2.676,20170328,1,49,10.590491197264091,11.107953631567302
2017-03-29,278.34,279.6,275.54,277.38,3676157,277.45,-0.025,20170329,2,50,10.479587690962349,10.877403779176245
2017-03-30,278.04,282.0,277.21,277.92,4148426,277.38,0.195,20170330,3,51,9.958685227863688,10.06527358280713
2017-03-31,278.73,279.68,276.32,278.3,3294640,277.92,0.13699999999999998,20170331,4,52,9.354940719126725,9.170782392477145
2017-04-03,286.9,299.0,284.58,298.52,13888618,278.3,7.266,20170403,0,53,10.427093288573143,10.759377957989775
2017-04-04,296.89,304.81,294.53,303.7,10134556,298.52,1.735,20170404,1,54,11.896950305288613,12.860263068801164
2017-04-05,302.04,304.88,294.2,295.0,7880938,303.7,-2.865,20170405,2,55,11.785783915755976,12.569465096713152
2017-04-06,296.88,301.94,294.1,298.7,5520588,295.0,1.254,20170406,3,56,11.586203849987234,12.173422834802023
2017-04-07,297.5,302.69,297.15,302.54,4579613,298.7,1.286,20170407,4,57,11.230590303475372,11.575484503307955
2017-04-10,309.15,313.73,308.71,312.39,7664458,302.54,3.2560000000000002,20170410,0,58,11.577243538186025,12.036185810948307
2017-04-11,313.38,313.47,305.5,308.71,5724577,312.39,-1.178,20170411,1,59,11.518209332244588,11.888666828881911
2017-04-12,306.34,308.448,296.32,296.84,6050682,308.71,-3.845,20170412,2,60,11.933247663911777,12.446268138083946
2017-04-13,296.7,307.39,295.3,304.0,9284634,296.84,2.412,20170413,3,61,12.067863259755214,12.574783740952965
2017-04-17,302.7,304.0,298.68,301.44,4138736,304.0,-0.8420000000000001,20170417,0,62,11.62059021693582,11.852724824000349
2017-04-18,299.7,300.84,297.9,300.25,3035698,301.44,-0.395,20170418,1,63,11.11759004865605,11.085614051059661
2017-04-19,302.46,306.62,302.11,305.52,3898024,300.25,1.755,20170419,2,64,10.57670612491748,10.298126960703774
2017-04-20,306.51,309.15,300.23,302.51,6149352,305.52,-0.985,20170420,3,65,10.425816745647888,10.114362161416704
2017-04-21,302.0,306.4,300.42,305.6,4509756,302.51,1.021,20170421,4,66,10.020969277289069,9.563076075361959
2017-04-24,309.22,310.55,306.02,308.03,5083505,305.6,0.795,20170424,0,67,9.840604818232439,9.359987197503225
2017-04-25,308.0,313.98,305.86,313.79,6737708,308.03,1.87,20170425,1,68,9.707637358142549,9.229315508442397
2017-04-26,312.37,314.5,309.0,310.17,4695044,313.79,-1.1540000000000001,20170426,2,69,9.412933526869274,8.86139035274109
2017-04-27,311.69,313.09,307.5,308.63,3468569,310.17,-0.49700000000000005,20170427,3,70,9.128703296808203,8.51852504330759
2017-04-28,309.83,314.8,308.0,314.07,4505478,308.63,1.7630000000000001,20170428,4,71,8.916781227068247,8.289380689121776
2017-05-01,314.88,327.25,314.81,322.83,8829565,314.07,2.7889999999999997,20170501,0,72,9.79973200757185,9.666836617555461
2017-05-02,324.0,327.66,316.56,318.89,5382777,322.83,-1.22,20170502,1,73,10.144600084570962,10.189938240221903
2017-05-03,317.67,321.53,310.45,311.02,7133365,318.89,-2.468,20170503,2,74,10.347978160277908,10.481952847384308
2017-05-04,307.435,307.77,290.76,295.46,14152008,311.02,-5.003,20170504,3,75,11.965681858667356,12.83507030544003
2017-05-05,298.0,308.55,296.8,308.35,8177347,295.46,4.363,20170505,4,76,12.1707531217709,13.019730624855253
2017-05-08,310.9,313.79,305.82,307.19,7006471,308.35,-0.376,20170508,0,77,12.731015605938035,13.727776599844624
2017-05-09,309.38,321.99,309.1,321.26,9676537,307.19,4.58,20170509,1,78,12.813694950027227,13.716072909107233
2017-05-10,321.56,325.5,318.12,325.22,5741607,321.26,1.2329999999999999,20170510,2,79,13.313603093561301,14.328603056968712
2017-05-11,323.4,326.0,319.6,323.1,4753819,325.22,-0.652,20170511,3,80,12.684814661769293,13.27144620675599
2017-05-12,325.48,327.0,321.53,324.81,4121612,323.1,0.529,20170512,4,81,12.028657687103951,12.231245042588181
2017-05-15,318.38,320.2,312.53,315.88,7622004,324.81,-2.7489999999999997,20170515,0,82,11.896003787858174,12.00974416507045
2017-05-16,317.59,320.06,315.14,317.01,4152484,315.88,0.358,20170516,1,83,11.693572308896664,11.697776398437775
2017-05-17,314.39,314.63,305.5,306.11,6711940,317.01,-3.438,20170517,2,84,11.574120435601952,11.522071961981062
2017-05-18,307.0,313.94,305.31,313.06,5653801,306.11,2.27,20170518,3,85,11.585567186725845,11.545795807650332
2017-05-19,315.5,316.5,310.2,310.83,4687572,313.06,-0.7120000000000001,20170519,4,86,11.476852025714722,11.391689096079414
2017-05-22,312.8,314.37,306.8,310.35,4329178,310.83,-0.154,20170522,0,87,11.121602754453848,10.882128819402947
2017-05-23,310.46,310.73,303.48,303.86,4318354,310.35,-2.0909999999999997,20170523,1,88,10.778658774183945,10.411176923990864
2017-05-24,306.51,311.0,305.4,310.22,5041692,303.86,2.093,20170524,2,89,10.307782986170613,9.769685031096078
2017-05-25,311.02,316.97,307.81,316.83,5013963,310.22,2.131,20170525,3,90,10.562573583669144,10.21506134490088
2017-05-26,317.28,325.49,316.31,325.14,7802199,316.83,2.623,20170526,4,91,10.990588017796687,10.889054456942864
2017-05-30,326.0,336.28,325.76,335.1,7782916,325.14,3.063,20170530,1,92,11.759734235730505,12.030515758105578
2017-05-31,337.69,342.89,335.16,341.01,9963444,335.1,1.764,20170531,2,93,12.304373866589748,12.79311475449568
2017-06-01,344.0,344.88,337.29,340.37,7607996,341.01,-0.188,20170601,3,94,12.074858510306093,12.391365619486672
2017-06-02,339.77,342.88,335.93,339.85,5590239,340.37,-0.153,20170602,4,95,11.608912778407552,11.66584941931678
2017-06-05,338.5,348.44,334.21,347.32,6784368,339.85,2.198,20170605,0,96,11.847216451468565,12.007736483692225
2017-06-06,344.7,359.49,339.97,352.85,11086798,347.32,1.5919999999999999,20170606,1,97,12.555713528759998,13.025372445423496
2017-06-07,356.34,360.5,355.14,359.65,9397959,352.85,1.9269999999999998,20170607,2,98,12.612471374868377,13.045989467207542
2017-06-08,363.75,371.9,360.22,370.0,9061496,359.65,2.878,20170608,3,99,13.1977437205871,13.846524693104193
2017-06-09,374.42,376.87,354.8,357.32,17261435,370.0,-3.427,20170609,4,100,14.004365685170383,14.942988646860085
2017-06-12,357.99,364.5,350.62,359.01,10517660,357.32,0.473,20170612,0,101,14.493089023344087,15.534590431595674
2017-06-13,367.62,376.0,366.61,375.95,11807920,359.01,4.718999999999999,20170613,1,102,14.873738046818357,15.95397854053711
2017-06-14,381.085,384.25,376.31,380.66,12818429,375.95,1.253,20170614,2,103,15.816172207311492,17.192115161109253
2017-06-15,372.5,375.46,366.49,375.34,10426469,380.66,-1.3980000000000001,20170615,3,104,15.238312333303929,16.16116616555916
2017-06-16,377.975,378.01,370.1,371.4,6730973,375.34,-1.05,20170616,4,105,14.812993790428203,15.414343817159338
2017-06-19,375.0,376.7,367.8,369.8,6549332,371.4,-0.431,20170619,0,106,14.275428882715916,14.545764447009478
2017-06-20,376.67,378.88,369.73,372.24,7438701,369.8,0.66,20170620,1,107,13.809465028454653,13.826329047765627
2017-06-21,374.35,376.99,368.02,376.4,4923210,372.24,1.1179999999999999,20170621,2,108,13.36950012233471,13.178818399139171
2017-06-22,377.99,385.0,373.57,382.61,7529778,376.4,1.65,20170622,3,109,13.314089470067996,13.12297593777928
2017-06-23,382.45,386.99,379.345,383.45,6445758,382.61,0.22,20170623,4,110,13.066438674078181,12.785245770069135
2017-06-26,386.69,386.95,373.1,377.49,6604099,383.45,-1.554,20170626,0,111,13.137673168949979,12.92721301627272
2017-06-27,376.4,376.4,362.02,362.37,6996399,377.49,-4.005,20170627,1,112,13.891536908673785,14.060918055030017
2017-06-28,366.68,371.74,362.52,371.24,6302463,362.37,2.448,20170628,2,113,13.989580881389996,14.182128990995695
2017-06-29,370.61,371.0,354.1,360.75,8221038,371.24,-2.826,20170629,3,114,14.254169033961489,14.544511818028285
2017-06-30,363.71,366.767,359.619,361.61,5848521,360.75,0.23800000000000002,20170630,4,115,14.014786250442057,14.154710218209532
2017-07-03,370.24,371.35,351.5,352.62,6305401,361.61,-2.4859999999999998,20170703,0,116,14.545267843660929,14.914082229773257
2017-07-05,347.2,347.24,326.33,327.09,17046701,347.2,-5.792000000000001,20170705,2,117,16.4302680964723,17.629538058475728
2017-07-06,317.26,320.79,306.3,308.83,19324495,327.09,-5.582999999999999,20170706,3,118,18.65481557303252,20.732266442125017
2017-07-07,313.5,317.0,307.38,313.22,14176915,308.83,1.421,20170707,4,119,18.75074246473839,20.59596424509102
2017-07-10,312.9,317.94,303.13,316.05,13820889,313.22,0.904,20170710,0,120,18.392489636789893,19.824502322442235
2017-07-11,316.0,327.28,314.3,327.22,11559402,316.05,3.534,20170711,1,121,17.998623431452984,19.05590199266196
2017-07-12,331.2,333.0,324.5,329.34,10346127,327.22,0.648,20170712,2,122,17.903293256037355,18.775115053936364
2017-07-13,330.11,331.6,319.97,323.41,8594466,329.34,-1.801,20170713,3,123,17.33298966753996,17.82243302801184
2017-07-14,323.19,328.42,321.22,327.78,5625211,323.41,1.351,20170714,4,124,16.495439542796003,16.528775268897533
2017-07-17,325.54,327.1,313.45,319.57,9876912,327.78,-2.505,20170717,0,125,16.23676164572207,16.144938560708816
2017-07-18,317.5,329.13,315.66,328.24,6373720,319.57,2.713,20170718,1,126,15.985236467519057,15.788280081382347
2017-07-19,328.23,331.65,323.219,325.26,6357014,328.24,-0.9079999999999999,20170719,2,127,15.630213184012524,15.29384273171299
2017-07-20,326.9,330.22,324.2,329.92,5166188,325.26,1.433,20170720,3,128,14.756553443455065,14.057330355596333
2017-07-21,329.46,331.25800000000004,325.8,328.4,4901606,329.92,-0.461,20170721,4,129,13.960318000978347,12.982752965896312
2017-07-24,330.24,343.399,330.01,342.52,8637082,328.4,4.3,20170724,0,130,13.916561653646914,13.048919237587937
2017-07-25,345.0,345.6,334.15,339.6,6989197,342.52,-0.853,20170725,1,131,14.21505707466568,13.602396676040204
2017-07-26,340.36,345.5,338.12,343.85,4820790,339.6,1.251,20170726,2,132,13.593686308257332,12.772743781401383
